exo-mercat_name,name,host,letter,main_id,binary,ra_official,dec_official,mass,mass_max,mass_min,mass_url,msini,msini_max,msini_min,msini_url,bestmass,bestmass_max,bestmass_min,bestmass_url,bestmass_provenance,p,p_max,p_min,p_url,r,r_max,r_min,r_url,a,a_max,a_min,a_url,e,e_max,e_min,e_url,i,i_max,i_min,i_url,discovery_method,status,status_string,confirmed,discovery_year,final_alias,catalog,angular_separation,angular_separation_flag,binary_mismatch_flag,coordinate_mismatch,coordinate_mismatch_flag,duplicate_flag
Kepler-345  c,KOI-1977 c,Kepler-345,c,Kepler-345,,295.228802,45.97102,0.00692,0.00283,0.00283,2017AJ....154....5H,,,,,0.00692,0.00283,0.00283,2017AJ....154....5H,Mass,9.387427,2.8e-05,2.8e-05,2014ApJ...784...45R,0.107,0.006,0.006,2014ApJ...784...45R,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2014.0,"Gaia DR2 2080067749681845504,AP J19405491+4558156,WISE J194054.91+455815.6,K01977.01,TIC 271546191,2MASS J19405491+4558156,KOI-1977.02,Kepler-345,K01977.02,KIC 9412760,KOI-1977.01,KOI-1977,Gaia DR3 2080067749681845504","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-346  b,KOI-1978 b,Kepler-346,b,Kepler-346,,288.01192166666664,46.1176003,,,,,,,,,,,,,Mass,6.511127,1.7e-05,1.7e-05,2014ApJ...784...45R,0.24241,0.113,0.02187,oec,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2014.0,"KOI-1978.01,K01978.01,KOI-1978,KOI-1978.02,AP J19120285+4607033,2MASS J19120285+4607033,SPOCS 3951,Gaia DR3 2130363259822710272,Gaia DR2 2130363259822710272,K01978.02,TIC 158660363,WISE J191202.86+460703.3,KIC 9518318,Kepler-346","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-346  c,KOI-1978 c,Kepler-346,c,Kepler-346,,288.0119248,46.11759763888889,,,,,,,,,,,,,Mass,23.851549,9.8e-05,9.8e-05,2014ApJ...784...45R,0.274,0.13,0.13,2014ApJ...784...45R,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2014.0,"KOI-1978.01,K01978.01,KOI-1978,KOI-1978.02,AP J19120285+4607033,2MASS J19120285+4607033,SPOCS 3951,Gaia DR3 2130363259822710272,Gaia DR2 2130363259822710272,K01978.02,TIC 158660363,WISE J191202.86+460703.3,KIC 9518318,Kepler-346","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1035  b,KOI-1979 b,Kepler-1035,b,Kepler-1035,,289.04219374999997,42.88253458333333,,,,,,,,,,,,,Mass,2.71407755,3.71e-06,3.71e-06,2016ApJ...822...86M,0.104,0.025,0.01,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"TIC 158927791,SPOCS 3680,KOI-1979,Gaia DR2 2102730157496733952,Kepler-1035,K01979.01,KIC 7273277,2MASS J19161013+4252569,WISE J191610.13+425256.9,KOI-1979.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1036  b,KOI-1980 b,Kepler-1036,b,Kepler-1036,,295.181638,49.94579675,,,,,,,,,,,,,Mass,122.8808058,0.000709,0.000709,2016ApJ...822...86M,0.269,0.012,0.047,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"KIC 11769890,Kepler-1036,K01980.01,TIC 27396869,AP J19404359+4956448,KOI-1980,KOI-1980.01,2MASS J19404359+4956448,SPOCS 4259,WISE J194043.60+495644.7,Gaia DR3 2134950078738454016,Gaia DR2 2134950078738454016","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1037  b,KOI-1981 b,Kepler-1037,b,Kepler-1037,,296.3410070833333,47.1709335,,,,,,,,,,,,,Mass,1.06378867,1.26e-06,1.26e-06,2016ApJ...822...86M,0.114,0.008,0.006,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2016.0,"KOI-1981.01,WISE J194521.85+471015.3,2MASS J19452184+4710150,TIC 272282253,K01981.01,KOI-1981,Gaia DR2 2080563320187721344,Kepler-1037,Gaia DR3 2080563320187721344,KIC 10153855","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
KOI-1984  b,KOI-1984 b,Kepler-1677,b,KOI-1984,,298.493273,47.013039,,,,,,,,,,,,,Mass,,,,,,,,,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2020.0,"2MASS J19535839+4700469,KIC 10094670,TIC 274198958,WISE J195358.38+470046.9,Gaia DR3 2085575272147044608,KOI-1984.01,Gaia DR2 2085575272147044608,K01984.01,SPOCS 4043,KOI-1984,10094670","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1038  b,KOI-1986 b,Kepler-1038,b,Kepler-1038,,298.972184,44.132378,,,,,,,,,,,,,Mass,148.4603382,0.0006894,0.0006894,2016ApJ...822...86M,0.315,0.046,0.035,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2016.0,"TIC 268483792,K01986.01,WISE J195553.32+440756.6,KOI-1986.01,Kepler-1038,KOI-1986,2MASS J19555332+4407565,SPOCS 2455,Gaia DR2 2079028676836456960,Gaia DR3 2079028676836456960,KIC 8257205","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1039  b,KOI-1988 b,Kepler-1039,b,Kepler-1039,,298.326591,45.31550419444444,,,,,,,,,,,,,Mass,0.93488424,8.7e-07,8.7e-07,2016ApJ...822...86M,0.13,0.008,0.02,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2016.0,"Kepler-1039,Gaia DR2 2079404572371719680,K01988.01,TIC 274020852,2MASS J19531838+4518558,KIC 9044228,KOI-1988,WISE J195318.38+451855.6,KOI-1988.01,Gaia DR3 2079404572371719680","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1040  b,KOI-1989 b,Kepler-1040,b,Kepler-1040,,283.113785,48.1312774,,,,,,,,,,,,,Mass,201.1214,0.001945,0.001945,2016ApJ...822...86M,0.186,0.016,0.009,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2016.0,"Gaia DR3 2131701365472538112,Gaia DR2 2131701365472538112,WISE J185227.30+480752.7,KOI-1989,2MASS J18522730+4807530,Kepler-1040,KOI-1989.01,K01989.01,SPOCS 4133,TIC 48217265,KIC 10779233","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-490  b,KOI-199 b,Kepler-490,b,Kepler-490,,295.025662,46.956005,,,,,,,,,,,,,Mass,3.26869515,2.3e-07,2.3e-07,2016ApJ...822...86M,1.039,0.294,0.123,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2016.0,"Kepler-490,Gaia DR3 2128525460498487424,K00199.01,2MASS J19400616+4657216,Gaia DR2 2128525460498487424,AP J19400616+4657216,KOI-199.01,KIC 10019708,KOI-199,WISE J194006.15+465721.5,TIC 271424111","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1041  b,KOI-1990 b,Kepler-1041,b,Kepler-1041,,293.88173249999994,49.683155,,,,,,,,,,,,,Mass,24.7576421,0.0001112,0.0001112,2016ApJ...822...86M,0.262,0.055,0.047,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,nasa: CONFIRMED,oec: CONFIRMED",3,2016.0,"WISE J193531.61+494059.3,KIC 11614617,TIC 27007509,KOI-1990.01,Gaia DR2 2135071712211140608,KOI-1990,2MASS J19353162+4940593,Kepler-1041,AP J19353162+4940593,K01990.01,Gaia DR3 2135071712211140608","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-347  b,KOI-1992 b,Kepler-347,b,Kepler-347,,289.19960999999995,49.30571091666666,,,,,,,,,,,,,Mass,12.79836,0.000106,0.000106,2014ApJ...784...45R,0.17953,0.08566,0.08566,oec,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2014.0,"K01992.01,KOI-1992,Gaia DR3 2132614922197436928,KOI-1992.02,2MASS J19164790+4918205,KOI-1992.01,Kepler-347,Gaia DR2 2132614922197436928,SPOCS 4226,KIC 11450414,WISE J191647.89+491820.4,TIC 299158566,K01992.02","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-347  c,KOI-1992 c,Kepler-347,c,Kepler-347,,289.199596,49.305717,,,,,,,,,,,,,Mass,27.320871,0.000457,0.000457,2014ApJ...784...45R,0.15948,0.07655,0.07655,oec,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2014.0,"K01992.01,KOI-1992,Gaia DR3 2132614922197436928,KOI-1992.02,2MASS J19164790+4918205,KOI-1992.01,Kepler-347,Gaia DR2 2132614922197436928,SPOCS 4226,KIC 11450414,WISE J191647.89+491820.4,TIC 299158566,K01992.02","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1042  b,KOI-1996 b,Kepler-1042,b,Kepler-1042,,288.668933,39.8239935,,,,,,,,,,,,,Mass,10.13202575,3.028e-05,3.028e-05,2016ApJ...822...86M,0.195,0.01,0.014,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2016.0,"WISE J191440.54+394926.3,KIC 4736569,Gaia DR3 2101233898269847296,K01996.01,Gaia DR2 2101233898269847296,Kepler-1042,KOI-1996.01,KOI-1996,2MASS J19144054+3949264,TIC 121734006","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1043  b,KOI-1997 b,Kepler-1043,b,Kepler-1043,,281.6629579,47.56857544444445,,,,,,,,,,,,,Mass,38.5053398,0.0001785,0.0001785,2016ApJ...822...86M,0.227,0.035,0.021,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2016.0,"KOI-1997,Kepler-1043,TIC 123358827,KIC 10384798,Gaia DR2 2119617320366308736,2MASS J18463911+4734069,WISE J184639.11+473406.9,K01997.01,KOI-1997.01,Gaia DR3 2119617320366308736","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1044  b,KOI-1998 b,Kepler-1044,b,Kepler-1044,,293.1444295833333,46.666237,,,,,,,,,,,,,Mass,6.77408868,1.867e-05,1.867e-05,2016ApJ...822...86M,0.238,0.055,0.026,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2016.0,"Gaia DR2 2128374483807368576,Gaia DR3 2128374483807368576,KOI-1998,AP J19323466+4639584,2MASS J19323466+4639584,K01998.01,KIC 9834040,KOI-1998.01,Kepler-1044,WISE J193234.65+463958.3,TIC 275488493","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-12  b,KOI-20 b,Kepler-12,b,Kepler-12,,286.243425,50.040382,0.43,0.05,0.05,oec,,,,,0.43,0.05,0.05,oec,Mass,4.4379629,6e-07,6e-07,2015ApJ...804..150E,1.754,0.031,0.036,2011ApJS..197....9F,0.0553,0.001,0.0012,2015ApJ...804..150E,,,,,88.796,0.088,0.074,2015ApJ...804..150E,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2011.0,"CMC14 J190458.4+500225,K00020.01,UCAC3 281-142736,KIC 11804465,GSC2.3 N2E9000592,SPOCS 3014,TIC 405717754,Gaia DR3 2133599775377340672,Kepler-12,WISE J190458.41+500225.3,USNO-B1.0 1400-00308314,GSC 03549-00844,PPMX J190458.4+500225,2MASS J19045842+5002253,Gaia DR2 2133599775377340672,KOI-20,KOI-20.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-74  b,KOI-200 b,Kepler-74,b,Kepler-74,,293.09253624999997,41.3555095,0.63,0.12,0.12,2015A&A...575A..85B,,,,,0.63,0.12,0.12,2015A&A...575A..85B,Mass,7.340711,6e-06,6e-06,2015A&A...575A..85B,0.96,0.02,0.02,2013A%26A...554A.114H,0.0781,0.0007,0.0007,2015A&A...575A..85B,,,,,87.46,0.07,0.07,2015A&A...575A..85B,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2012.0,"KOI-200.01,Kepler-74,Gaia DR2 2077586873492185344,UCAC2  46161558,UCAC3 263-163248,KOI-200,2MASS J19322220+4121198,AP J19322220+4121198,TIC 137903329,USNO-A2.0 1275-11623662,K00200.01,Gaia DR3 2077586873492185344,KIC 6046540,WISE J193222.20+412119.7,CMC14 J193222.2+412119,GSC2.3 N2K6074728,2MASS 19322220+4121198,USNO-B1.0 1313-00340274,GSC2 N030331274728","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1045  b,KOI-2000 b,Kepler-1045,b,Kepler-1045,,284.1832668,45.0740897,,,,,,,,,,,,,Mass,26.41045478,7.194e-05,7.194e-05,2016ApJ...822...86M,0.24,0.019,0.014,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2016.0,"WISE J185643.98+450426.6,K02000.01,KOI-2000.01,KOI-2000,2MASS J18564399+4504267,Gaia DR2 2106805501643509888,KIC 8802693,TIC 164670756,Gaia DR3 2106805501643509888,Kepler-1045,AP J18564399+4504267","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1046  b,KOI-2002 b,Kepler-1046,b,Kepler-1046,,296.7558056,46.998291,,,,,,,,,,,,,Mass,14.37508035,4.094e-05,4.094e-05,2016ApJ...822...86M,0.153,0.011,0.01,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2016.0,"KIC 10024701,KOI-2002.01,K02002.01,2MASS J19470138+4659538,Gaia DR2 2080369355161370240,Kepler-1046,KOI-2002,SPOCS 4042,Gaia DR3 2080369355161370240,TIC 272601000,WISE J194701.39+465953.8","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1047  b,KOI-2004 b,Kepler-1047,b,Kepler-1047,,288.6462564,50.7889645,,,,,,,,,,,,,Mass,56.1886887,0.0002756,0.0002756,2016ApJ...822...86M,0.186,0.023,0.015,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2016.0,"Kepler-1047,WISE J191435.09+504720.3,KOI-2004.02,2MASS J19143510+5047203,Gaia DR2 2133309160710350336,KOI-2004.01,K02004.01,K02004.02,KOI-2004,TIC 299029323,KIC 12154526,SPOCS 4289,Gaia DR3 2133309160710350336","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1047  c,KOI-2004 c,Kepler-1047,c,Kepler-1047,,288.64628875,50.789007194444444,,,,,,,,,,,,,Mass,3.18897601,2.038e-05,2.038e-05,2016ApJ...822...86M,0.088,0.012,0.008,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"Kepler-1047,WISE J191435.09+504720.3,KOI-2004.02,2MASS J19143510+5047203,Gaia DR2 2133309160710350336,KOI-2004.01,K02004.01,K02004.02,KOI-2004,TIC 299029323,KIC 12154526,SPOCS 4289,Gaia DR3 2133309160710350336","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1048  b,KOI-2005 b,Kepler-1048,b,Kepler-1048,,281.8983042,42.1657112,,,,,,,,,,,,,Mass,6.92101021,2.415e-05,2.415e-05,2016ApJ...822...86M,0.144,0.008,0.007,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2016.0,"Gaia DR3 2104704815958848000,2MASS J18473560+4209568,KOI-2005,K02005.01,Kepler-1048,KIC 6665512,Gaia DR2 2104704815958848000,TIC 123408693,WISE J184735.59+420956.6,KOI-2005.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1049  b,KOI-2006 b,Kepler-1049,b,Kepler-1049,,287.3467758333333,47.772957,,,,,,,,,,,,,Mass,3.27346074,5.31e-06,5.31e-06,2016ApJ...822...86M,0.085,0.009,0.014,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2016.0,"TIC 158489095,Gaia DR2 2131059628640021120,KOI-2006,AP J19092321+4746226,WISE J190923.25+474622.4,Kepler-1049,KOI-2006.01,KIC 10525027,K02006.01,2MASS J19092321+4746226,Gaia DR3 2131059628640021120","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1050  b,KOI-2007 b,Kepler-1050,b,Kepler-1050,,282.924996,48.6264015,,,,,,,,,,,,,Mass,15.3787546,6.915e-05,6.915e-05,2016ApJ...822...86M,0.143,0.043,0.016,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,oec: CONFIRMED,eu: CONFIRMED",3,2016.0,"TIC 48216453,Gaia DR2 2143749504651818368,KIC 11069176,2MASS J18514199+4837350,KOI-2007,K02007.01,KOI-2007.01,Gaia DR3 2143749504651818368,KOI-2007.02,Kepler-1050,K02007.02,WISE J185141.99+483735.0,SPOCS 4174","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1050  c,KOI-2007 c,Kepler-1050,c,Kepler-1050,,282.9249847,48.626384055555555,,,,,,,,,,,,,Mass,21.1284569,0.000112,0.000112,2016ApJ...822...86M,0.132,0.031,0.014,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,eu: CONFIRMED,nasa: CONFIRMED",3,2016.0,"TIC 48216453,Gaia DR2 2143749504651818368,KIC 11069176,2MASS J18514199+4837350,KOI-2007,K02007.01,KOI-2007.01,Gaia DR3 2143749504651818368,KOI-2007.02,Kepler-1050,K02007.02,WISE J185141.99+483735.0,SPOCS 4174","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-491  b,KOI-201 b,Kepler-491,b,Kepler-491,,287.1306025,42.350155,,,,,,,,,,,,,Mass,4.22538451,2.7e-07,2.7e-07,2016ApJ...822...86M,0.796,0.071,0.045,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2015.0,"WISE J190831.33+422100.6,KOI-201.01,SPOCS 3639,Kepler-491,KIC 6849046,Gaia DR2 2102468134431912064,TIC 158388163,KOI-201,2MASS J19083133+4221005,Gaia DR3 2102468134431912064,K00201.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1051  b,KOI-2010 b,Kepler-1051,b,Kepler-1051,,295.158106,40.89884497222222,,,,,,,,,,,,,Mass,25.96200249,8.634e-05,8.634e-05,2016ApJ...822...86M,0.303,0.11,0.06,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"KIC 5631630,KOI-2010.01,KOI-2010,Kepler-1051,Gaia DR2 2076661630160275072,2MASS J19403794+4053558,K02010.01,SPOCS 3506,Gaia DR3 2076661630160275072,WISE J194037.93+405355.9,TIC 138968338","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-348  b,KOI-2011 b,Kepler-348,b,Kepler-348,,297.25505,40.548373,,,,,,,,,,,,,Mass,7.05677,3.1e-05,3.1e-05,2014ApJ...784...45R,0.13852,0.02643,0.02643,oec,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2014.0,"Gaia DR2 2073750986669231232,K02011.02,2MASS J19490121+4032541,KOI-2011,KIC 5384079,KOI-2011.01,WISE J194901.21+403254.1,TIC 169180792,Gaia DR3 2073750986669231232,KOI-2011.02,Kepler-348,SPOCS 3465,K02011.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-348  c,KOI-2011 c,Kepler-348,c,Kepler-348,,297.25503749999996,40.54835652777778,,,,,,,,,,,,,Mass,17.265427,0.000179,0.000179,2014ApJ...784...45R,0.119,0.022,0.022,2014ApJ...784...45R,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2014.0,"Gaia DR2 2073750986669231232,K02011.02,2MASS J19490121+4032541,KOI-2011,KIC 5384079,KOI-2011.01,WISE J194901.21+403254.1,TIC 169180792,Gaia DR3 2073750986669231232,KOI-2011.02,Kepler-348,SPOCS 3465,K02011.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1052  b,KOI-2012 b,Kepler-1052,b,Kepler-1052,,295.34273,46.602232944444445,,,,,,,,,,,,,Mass,34.8538276,0.000126,0.000126,2016ApJ...822...86M,0.261,0.048,0.028,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2016.0,"Gaia DR2 2080466185207274880,KOI-2012,TIC 271661839,Gaia DR3 2080466185207274880,KIC 9839821,KOI-2012.01,Kepler-1052,SPOCS 3099,K02012.01,2MASS J19412225+4636081,WISE J194122.25+463607.9,AP J19412225+4636081","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1053  b,KOI-2013 b,Kepler-1053,b,Kepler-1053,,291.418635,39.127398166666666,,,,,,,,,,,,,Mass,2.41435165,2.54e-06,2.54e-06,2016ApJ...822...86M,0.087,0.004,0.004,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2016.0,"KOI-2013,Gaia DR2 2052973309272223232,Kepler-1053,KOI-2013.01,Gaia DR3 2052973309272223232,TIC 137152419,2MASS J19254047+3907387,K02013.01,KIC 4056616,WISE J192540.47+390738.6,AP J19254047+3907387","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1054  b,KOI-2016 b,Kepler-1054,b,Kepler-1054,,290.601152,44.556385,,,,,,,,,,,,,Mass,4.30655689,1.426e-05,1.426e-05,2016ApJ...822...86M,0.235,0.103,0.047,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2016.0,"WISE J192224.26+443322.9,KOI-2016.01,Gaia DR3 2126979031752904192,KIC 8492026,TIC 159441326,K02016.01,Kepler-1054,2MASS J19222427+4433229,SPOCS 3815,Gaia DR2 2126979031752904192,KOI-2016","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1055  b,KOI-2017 b,Kepler-1055,b,Kepler-1055,,290.4867883333333,44.932591055555555,,,,,,,,,,,,,Mass,2.29503623,3.47e-06,3.47e-06,2016ApJ...822...86M,0.11,0.006,0.005,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"Kepler-1055,KIC 8750043,Gaia DR2 2127020229079881856,KOI-2017.01,KOI-2017,2MASS J19215682+4455574,TIC 159440697,SPOCS 3856,K02017.01,WISE J192156.82+445557.2,Gaia DR3 2127020229079881856","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1056  b,KOI-2018 b,Kepler-1056,b,Kepler-1056,,299.5259832,46.8992561,,,,,,,,,,,,,Mass,27.495606,0.0001457,0.0001457,2016ApJ...822...86M,0.269,0.119,0.054,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"2MASS J19580623+4653573,Kepler-1056,K02018.01,TIC 268935452,Gaia DR3 2085599186522693632,WISE J195806.23+465357.3,Gaia DR2 2085599186522693632,KIC 9973109,KOI-2018.01,KOI-2018","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1057  b,KOI-2019 b,Kepler-1057,b,Kepler-1057,,297.4521520833333,41.558124916666664,,,,,,,,,,,,,Mass,14.08827448,4.045e-05,4.045e-05,2016ApJ...822...86M,0.3,0.098,0.046,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"oec: CONFIRMED,nasa: CONFIRMED,eu: CONFIRMED",3,2016.0,"Gaia DR2 2076891329311747584,KIC 6226290,KOI-2019,Kepler-1057,K02019.01,KOI-2019.01,TIC 169463893,2MASS J19494851+4133292,Gaia DR3 2076891329311747584","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-412  b,KOI-202 b,Kepler-412,b,Kepler-412,,286.11031499999996,43.680958,0.939,0.085,0.085,oec,,,,,0.939,0.085,0.085,oec,Mass,1.720861232,4.7e-08,4.7e-08,oec,1.325,0.043,0.043,oec,0.02959,0.00078,0.00078,oec,0.0038,0.0087,0.0032,2014A%26A...564A..56D,80.559,0.084,0.079,2015ApJ...804..150E,Transit,CONFIRMED,"nasa: CONFIRMED,eu: CONFIRMED,oec: CONFIRMED",3,2014.0,"WISE J190426.48+434051.6,GSC2 N0300300653,USNO-B1.0 1336-00316815,UCAC3 268-158278,KOI-202.01,PPMX J190426.4+434051,GSC 03132-00543,TIC 158170594,2MASS J19042647+4340514,Gaia DR2 2105678089908733824,CMC14 J190426.4+434051,Kepler-412,K00202.01,GSC2.3 N2EO000653,KOI-202,Gaia DR3 2105678089908733824,KIC 7877496,2MASS 19042647+4340514","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
Kepler-1058  b,KOI-2020 b,Kepler-1058,b,Kepler-1058,,294.5957545833333,45.8750556,,,,,,,,,,,,,Mass,110.96546,0.001146,0.001146,2016ApJ...822...86M,0.243,0.01,0.029,2016ApJ...822...86M,,,,,,,,,,,,,Transit,CONFIRMED,"eu: CONFIRMED,oec: CONFIRMED,nasa: CONFIRMED",3,2016.0,"WISE J193822.95+455230.2,KOI-2020.01,KOI-2020,AP J19382298+4552301,Gaia DR3 2080054761700390272,TIC 271164394,KIC 9349482,Gaia DR2 2080054761700390272,2MASS J19382298+4552301,Kepler-1058,K02020.01","['eu', 'nasa', 'oec']",[0.0],0,0,,0,0
